job_name	company_name	min_salary	max_salary	education	workyear	workarea	companytype	issuedate
Java开发工程师	武汉共成联创信息技术有限公司	9000	13000	大专	3-4	武汉-洪山区	民营公司	2022-01-01 04:00:37
Java架构师	拓德（武汉）软件有限公司	25000	35000	本科	8-9	武汉-洪山区	外资（欧美）	2022-01-01 04:00:37
Java开发工程师	成都华鼎智胜科技有限公司	6000	8000	大专	1	成都-高新区	民营公司	2022-01-01 04:00:37
Java高级开发工程师	安徽鲸洋畜牧科技有限公司	10000	15000	本科	2	合肥-包河区	民营公司	2022-01-01 04:00:37
Java架构师	广州市昊链信息科技股份有限公司	25000	30000	本科	8-9	广州-黄埔区	民营公司	2022-01-01 04:00:37
Java开发工程师	上海丰乘电子科技有限公司	8000	15000	大专	2	上海-闵行区	创业公司	2022-01-01 04:00:37
Java开发工程师	广东华际友天信息科技有限公司	12000	17000	本科	3-4	深圳-罗湖区	民营公司	2022-01-01 04:00:37
Java开发工程师	武大吉奥信息技术有限公司	15000	20000	本科	2	武汉	民营公司	2022-01-01 04:00:37
Java开发工程师\	上海艾融软件股份有限公司	15000	25000	本科	3-4	广州-天河区	民营公司	2022-01-01 04:00:37
Java开发工程师	福建国科信息科技有限公司	7000	14000	大专	1	厦门-集美区	民营公司	2022-01-01 04:00:37
Java开发工程师	广西博联信息通信技术有限责任公司	8000	13000	大专	1	广州-黄埔区	合资	2022-01-01 04:00:37
Java开发工程师	湖北小熊图书文化传媒有限公司	8000	10000	本科	3-4	武汉-黄陂区	民营公司	2022-01-01 04:00:37
Java开发工程师	陕西山利科技发展有限责任公司	5500	8000	本科	2	西安	民营公司	2022-01-01 04:00:37
Java开发工程师	浙江七升数智科技有限公司	6000	10000	大专	1	杭州-西湖区	民营公司	2022-01-01 04:00:37
Java中级开发工程师	广州凯园教育投资有限公司	8000	13000	本科	2	广州-天河区	民营公司	2022-01-01 04:00:37
高级Java开发工程师	广州宏算信息科技有限公司	15000	20000	本科	5-7	广州-海珠区	民营公司	2022-01-01 04:00:37
JAVA开发工程师	南京争锋信息科技有限公司	10000	15000	本科	1	深圳-南山区	民营公司	9
