排名	学校名称	综合得分	星级排名	办学层次
100	河北工业大学	64.62	4	中国高水平大学
100	成都理工大学	64.62	4	中国高水平大学
100	武汉科技大学	64.62	4	中国高水平大学
103	福建农林大学	64.61	4	中国高水平大学
103	天津师范大学	64.61	4	中国高水平大学
105	西南财经大学	64.60	5	中国一流大学
106	福建师范大学	64.59	4	中国高水平大学
107	河南师范大学	64.54	4	中国高水平大学
107	深圳大学	64.54	4	中国高水平大学
109	江西师范大学	64.45	4	中国高水平大学
110	中央财经大学	64.44	5	中国一流大学
111	北京林业大学	64.43	6	世界高水平大学
112	东北财经大学	64.38	5	中国一流大学
113	长安大学	64.22	4	中国高水平大学
114	江西财经大学	64.08	5	中国一流大学
115	南方科技大学	64.07	5	中国一流大学
116	东北林业大学	64.06	4	中国高水平大学
117	安徽大学	64.05	4	中国高水平大学
118	黑龙江大学	64.04	4	中国高水平大学
119	湘潭大学	64.03	4	中国高水平大学
120	四川农业大学	63.99	4	中国高水平大学
121	上海师范大学	63.95	4	中国高水平大学
122	天津工业大学	63.83	4	中国高水平大学
123	东北农业大学	63.68	4	中国高水平大学
124	湖南农业大学	63.61	3	区域一流大学
125	南京林业大学	63.49	4	中国高水平大学
126	山东农业大学	63.45	4	中国高水平大学
127	广西大学	63.44	4	中国高水平大学
128	广州大学	63.36	3	区域一流大学
129	中国地质大学（北京）	63.33	4	中国高水平大学
130	华北电力大学	63.27	4	中国高水平大学
131	内蒙古大学	63.20	4	中国高水平大学
132	新疆大学	63.18	5	中国一流大学
132	南京邮电大学	63.18	4	中国高水平大学
134	浙江工商大学	63.16	4	中国高水平大学
135	安徽师范大学	63.15	4	中国高水平大学
136	华侨大学	63.13	3	区域一流大学
137	山东科技大学	63.12	3	区域一流大学
138	西北师范大学	63.09	4	中国高水平大学
139	浙江理工大学	63.07	3	区域一流大学
140	广西师范大学	63.05	3	区域一流大学
141	中国矿业大学（北京）	63.04	4	中国高水平大学
142	贵州大学	63.03	4	中国高水平大学
142	大连海事大学	63.03	4	中国高水平大学
142	山东财经大学	63.03	4	中国高水平大学
145	长沙理工大学	63.01	4	中国高水平大学
146	中南民族大学	62.99	5	中国一流大学
147	河南农业大学	62.98	3	区域一流大学
148	海南大学	62.92	3	区域一流大学
149	西安理工大学	62.91	3	区域一流大学
150	湖北大学	62.90	3	区域一流大学
151	长春理工大学	62.89	3	区域一流大学
152	哈尔滨理工大学	62.86	3	区域一流大学
153	杭州师范大学	62.85	3	区域一流大学
154	东北电力大学	62.82	3	区域一流大学
155	云南师范大学	62.81	3	区域一流大学
156	西安建筑科技大学	62.78	4	中国高水平大学
156	河北农业大学	62.78	4	中国高水平大学
158	汕头大学	62.75	3	区域一流大学
158	河南理工大学	62.75	3	区域一流大学
160	首都经济贸易大学	62.73	4	中国高水平大学
161	哈尔滨师范大学	62.72	3	区域一流大学
161	沈阳农业大学	62.72	3	区域一流大学
161	湖南科技大学	62.72	3	区域一流大学
164	重庆邮电大学	62.71	3	区域一流大学
165	南京信息工程大学	62.70	4	中国高水平大学
166	兰州交通大学	62.69	3	区域一流大学
167	云南民族大学	62.67	5	中国一流大学
167	青岛大学	62.67	3	区域一流大学
169	兰州理工大学	62.64	3	区域一流大学
170	西南石油大学	62.62	4	中国高水平大学
171	河北师范大学	62.61	3	区域一流大学
172	辽宁工程技术大学	62.58	3	区域一流大学
173	石家庄铁道大学	62.54	3	区域一流大学
174	江西理工大学	62.53	3	区域一流大学
174	长江大学	62.53	3	区域一流大学
176	江苏师范大学	62.52	3	区域一流大学
177	四川师范大学	62.51	3	区域一流大学
178	陕西科技大学	62.45	3	区域一流大学
179	大连大学	62.44	3	区域一流大学
180	上海海事大学	62.42	4	中国高水平大学
181	辽宁师范大学	62.41	3	区域一流大学
181	沈阳工业大学	62.41	3	区域一流大学
183	东莞理工学院	62.40	3	区域一流大学
183	济南大学	62.40	3	区域一流大学
183	安徽农业大学	62.40	3	区域一流大学
186	青岛科技大学	62.39	3	区域一流大学
187	天津理工大学	62.38	3	区域一流大学
188	上海海洋大学	62.36	4	中国高水平大学
188	中南林业科技大学	62.36	3	区域一流大学
190	天津科技大学	62.35	3	区域一流大学
191	浙江农林大学	62.33	3	区域一流大学
192	武汉工程大学	62.32	3	区域一流大学
192	桂林理工大学	62.32	3	区域一流大学
194	河南工业大学	62.31	3	区域一流大学
195	重庆师范大学	62.30	3	区域一流大学
196	天津财经大学	62.29	4	中国高水平大学
196	大连工业大学	62.29	3	区域一流大学
198	山西财经大学	62.27	3	区域一流大学
198	温州大学	62.27	3	区域一流大学
200	湖南工商大学	62.26	3	区域一流大学
201	重庆交通大学	62.25	3	区域一流大学
202	湖北工业大学	62.24	3	区域一流大学
203	中北大学	62.23	3	区域一流大学
204	桂林电子科技大学	62.22	3	区域一流大学
204	三峡大学	62.22	3	区域一流大学
206	南通大学	62.21	3	区域一流大学
207	西南民族大学	62.20	4	中国高水平大学
207	曲阜师范大学	62.20	2	区域高水平大学
207	河北科技大学	62.20	2	区域高水平大学
207	集美大学	62.20	2	区域高水平大学
211	石河子大学	62.19	3	区域一流大学
211	江西农业大学	62.19	3	区域一流大学
211	重庆理工大学	62.19	3	区域一流大学
214	贵州师范大学	62.18	2	区域高水平大学
215	浙江财经大学	62.17	3	区域一流大学
216	吉林农业大学	62.16	3	区域一流大学
216	西安科技大学	62.16	2	区域高水平大学
