排名	学校名称	综合得分	星级排名	办学层次
430	浙江水利水电学院	60.76	1	区域知名大学
430	湖南人文科技学院	60.76	1	区域知名大学
433	中国民用航空飞行学院	60.75	3	区域一流大学
433	山东工商学院	60.75	2	区域高水平大学
433	湖南工学院	60.75	1	区域知名大学
433	吉林工程技术师范学院	60.75	1	区域知名大学
433	白城师范学院	60.75	1	区域知名大学
438	梧州学院	60.74	1	区域知名大学
438	皖西学院	60.74	1	区域知名大学
438	百色学院	60.74	1	区域知名大学
441	安庆师范大学	60.73	2	区域高水平大学
442	喀什大学	60.72	1	区域知名大学
442	红河学院	60.72	1	区域知名大学
442	晋中学院	60.72	1	区域知名大学
445	运城学院	60.71	1	区域知名大学
445	湘南学院	60.71	1	区域知名大学
445	太原工业学院	60.71	1	区域知名大学
448	重庆文理学院	60.70	1	区域知名大学
448	通化师范学院	60.70	1	区域知名大学
448	贵阳学院	60.70	1	区域知名大学
448	河池学院	60.70	1	区域知名大学
448	吉林工商学院	60.70	1	区域知名大学
453	江苏理工学院	60.69	1	区域知名大学
453	九江学院	60.69	1	区域知名大学
455	吉林农业科技学院	60.68	2	区域高水平大学
455	淮阴师范学院	60.68	1	区域知名大学
455	盐城师范学院	60.68	1	区域知名大学
455	凯里学院	60.68	1	区域知名大学
455	黔南民族师范学院	60.68	1	区域知名大学
455	太原学院	60.68	1	区域知名大学
461	昌吉学院	60.67	1	区域知名大学
461	贺州学院	60.67	1	区域知名大学
461	长沙师范学院	60.67	1	区域知名大学
464	衢州学院	60.66	1	区域知名大学
464	长治学院	60.66	1	区域知名大学
466	洛阳理工学院	60.65	1	区域知名大学
466	铜仁学院	60.65	1	区域知名大学
468	湖北工程学院	60.64	2	区域高水平大学
469	长江师范学院	60.63	1	区域知名大学
469	安阳师范学院	60.63	1	区域知名大学
469	吕梁学院	60.63	1	区域知名大学
472	湖北民族大学	60.62	2	区域高水平大学
472	淮阴工学院	60.62	1	区域知名大学
474	山东交通学院	60.61	3	区域一流大学
474	黑龙江工程学院	60.61	1	区域知名大学
474	合肥师范学院	60.61	1	区域知名大学
474	盐城工学院	60.61	1	区域知名大学
478	文山学院	60.60	1	区域知名大学
479	河南牧业经济学院	60.59	1	区域知名大学
480	常州工学院	60.58	1	区域知名大学
481	沈阳工程学院	60.57	1	区域知名大学
481	河北科技师范学院	60.57	1	区域知名大学
483	丽水学院	60.56	1	区域知名大学
483	阜阳师范大学	60.56	1	区域知名大学
483	南京晓庄学院	60.56	1	区域知名大学
483	南阳师范学院	60.56	1	区域知名大学
483	保山学院	60.56	1	区域知名大学
483	六盘水师范学院	60.56	1	区域知名大学
489	乐山师范学院	60.55	1	区域知名大学
489	重庆三峡学院	60.55	1	区域知名大学
489	黄山学院	60.55	1	区域知名大学
492	金陵科技学院	60.53	1	区域知名大学
492	徐州工程学院	60.53	1	区域知名大学
492	成都工业学院	60.53	1	区域知名大学
495	中华女子学院	60.52	3	区域一流大学
495	宜春学院	60.52	1	区域知名大学
497	天水师范学院	60.51	2	区域高水平大学
497	湖北科技学院	60.51	1	区域知名大学
497	南阳理工学院	60.51	1	区域知名大学
497	宜宾学院	60.51	1	区域知名大学
497	河北北方学院	60.51	1	区域知名大学
497	常熟理工学院	60.51	1	区域知名大学
503	安徽科技学院	60.50	1	区域知名大学
503	滨州学院	60.50	1	区域知名大学
503	莆田学院	60.50	1	区域知名大学
503	绥化学院	60.50	1	区域知名大学
507	河南工程学院	60.49	1	区域知名大学
507	河北金融学院	60.49	1	区域知名大学
507	黑河学院	60.49	1	区域知名大学
510	北华航天工业学院	60.48	2	区域高水平大学
510	兰州城市学院	60.48	1	区域知名大学
510	德州学院	60.48	1	区域知名大学
510	河西学院	60.48	1	区域知名大学
510	巢湖学院	60.48	1	区域知名大学
510	武夷学院	60.48	1	区域知名大学
516	西安文理学院	60.47	1	区域知名大学
516	商丘师范学院	60.47	1	区域知名大学
516	内江师范学院	60.47	1	区域知名大学
519	福建江夏学院	60.46	1	区域知名大学
519	潍坊学院	60.46	1	区域知名大学
519	许昌学院	60.46	1	区域知名大学
519	贵州工程应用技术学院	60.46	1	区域知名大学
523	北京电子科技学院	60.45	2	区域高水平大学
523	西安航空学院	60.45	1	区域知名大学
523	湖北理工学院	60.45	1	区域知名大学
526	华北科技学院	60.44	2	区域高水平大学
526	湖北第二师范学院	60.44	1	区域知名大学
526	鞍山师范学院	60.44	1	区域知名大学
526	龙岩学院	60.44	1	区域知名大学
530	桂林航天工业学院	60.43	1	区域知名大学
530	周口师范学院	60.43	1	区域知名大学
530	三明学院	60.43	1	区域知名大学
530	赤峰学院	60.43	1	区域知名大学
534	防灾科技学院	60.42	2	区域高水平大学
534	甘肃民族师范学院	60.42	1	区域知名大学
534	辽宁科技学院	60.42	1	区域知名大学
534	保定学院	60.42	1	区域知名大学
534	攀枝花学院	60.42	1	区域知名大学
539	河北建筑工程学院	60.41	2	区域高水平大学
539	郑州师范学院	60.41	1	区域知名大学
539	黄淮学院	60.41	1	区域知名大学
539	集宁师范学院	60.41	1	区域知名大学
539	上饶师范学院	60.41	1	区域知名大学
539	泰山学院	60.41	1	区域知名大学
545	山东青年政治学院	60.40	1	区域知名大学
545	陇东学院	60.40	1	区域知名大学
545	贵州理工学院	60.40	1	区域知名大学
548	平顶山学院	60.39	1	区域知名大学
548	淮南师范学院	60.39	1	区域知名大学
548	宁德师范学院	60.39	1	区域知名大学
548	铜陵学院	60.39	1	区域知名大学
548	新疆工程学院	60.39	1	区域知名大学
548	安顺学院	60.39	1	区域知名大学
548	辽东学院	60.39	1	区域知名大学
548	呼伦贝尔学院	60.39	1	区域知名大学
556	绵阳师范学院	60.38	1	区域知名大学
556	大庆师范学院	60.38	1	区域知名大学
556	河南城建学院	60.38	1	区域知名大学
556	廊坊师范学院	60.38	1	区域知名大学
556	榆林学院	60.38	1	区域知名大学
556	邯郸学院	60.38	1	区域知名大学
556	唐山学院	60.38	1	区域知名大学
556	宿州学院	60.38	1	区域知名大学
564	兰州工业学院	60.37	1	区域知名大学
564	兰州文理学院	60.37	1	区域知名大学
564	广西民族师范学院	60.37	1	区域知名大学
564	石家庄学院	60.37	1	区域知名大学
564	江苏第二师范学院	60.37	1	区域知名大学
564	枣庄学院	60.37	1	区域知名大学
564	桂林旅游学院	60.37	1	区域知名大学
571	上海海关学院	60.36	1	区域知名大学
571	哈尔滨金融学院	60.36	1	区域知名大学
571	安阳工学院	60.36	1	区域知名大学
571	信阳农林学院	60.36	1	区域知名大学
571	衡水学院	60.36	1	区域知名大学
576	沧州师范学院	60.35	1	区域知名大学
576	荆楚理工学院	60.35	1	区域知名大学
576	萍乡学院	60.35	1	区域知名大学
576	营口理工学院	60.35	1	区域知名大学
580	山东女子学院	60.34	1	区域知名大学
580	哈尔滨学院	60.34	1	区域知名大学
580	池州学院	60.34	1	区域知名大学
580	西昌学院	60.34	1	区域知名大学
580	黑龙江工业学院	60.34	1	区域知名大学
585	咸阳师范学院	60.33	1	区域知名大学
585	重庆第二师范学院	60.33	1	区域知名大学
585	兴义民族师范学院	60.33	1	区域知名大学
585	河北民族师范学院	60.33	1	区域知名大学
585	四川文理学院	60.33	1	区域知名大学
585	新乡学院	60.33	1	区域知名大学
585	济宁学院	60.33	1	区域知名大学
585	浙大城市学院	60.33	1	区域知名大学
585	山西工程技术学院	60.33	1	区域知名大学
585	山西能源学院	60.33	1	区域知名大学
595	成都师范学院	60.32	1	区域知名大学
595	安康学院	60.32	1	区域知名大学
595	菏泽学院	60.32	1	区域知名大学
595	山东管理学院	60.32	1	区域知名大学
595	邢台学院	60.32	1	区域知名大学
600	渭南师范学院	60.31	1	区域知名大学
600	南昌师范学院	60.31	1	区域知名大学
600	齐鲁师范学院	60.31	1	区域知名大学
600	蚌埠学院	60.31	1	区域知名大学
600	新余学院	60.31	1	区域知名大学
